accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Basketball (NA).png	emu/MEDIA/ATARI2600/Basketball (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Battlezone (NA).png	emu/MEDIA/ATARI2600/Battlezone (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Beamrider (NA).png	emu/MEDIA/ATARI2600/Beamrider (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Beany Bopper (NA).png	emu/MEDIA/ATARI2600/Beany Bopper (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Beat 'em & Eat 'em (NA).png	emu/MEDIA/ATARI2600/Beat 'em & Eat 'em (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bermuda Triangle (NA).png	emu/MEDIA/ATARI2600/Bermuda Triangle (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Berzerk (NA).png	emu/MEDIA/ATARI2600/Berzerk (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Big Bird's Egg Catch (NA).png	emu/MEDIA/ATARI2600/Big Bird's Egg Catch (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bionic Breakthrough (Prototype).png	emu/MEDIA/ATARI2600/Bionic Breakthrough (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Birthday Mania (NA).png	emu/MEDIA/ATARI2600/Birthday Mania (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Black Jack (NA).png	emu/MEDIA/ATARI2600/Black Jack (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bloody Human Freeway (Prototype).png	emu/MEDIA/ATARI2600/Bloody Human Freeway (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Blueprint (NA).png	emu/MEDIA/ATARI2600/Blueprint (NA).png	carátula a MEDIA
