accion	origen	destino	motivo
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxa.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxa.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxb.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxb.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxd.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxd.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxh.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxh.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxj.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxj.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/19xxjr1.zip	emu/ROMS/ARCADE/FBNEO/CPS2/19xxjr1.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps2: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/2020bb.zip	emu/ROMS/NEOGEO/2020bb.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_neogeo: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/2020bba.zip	emu/ROMS/NEOGEO/2020bba.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_neogeo: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/2020bbh.zip	emu/ROMS/NEOGEO/2020bbh.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_neogeo: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/3countb.zip	emu/ROMS/NEOGEO/3countb.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_neogeo: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/3in1semi.zip	emu/ROMS/ARCADE/FBNEO/3in1semi.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/3wonders.zip	emu/ROMS/ARCADE/FBNEO/CPS1/3wonders.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/3wondersh.zip	emu/ROMS/ARCADE/FBNEO/CPS1/3wondersh.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/3wondersu.zip	emu/ROMS/ARCADE/FBNEO/CPS1/3wondersu.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/4dwarrio.zip	emu/ROMS/ARCADE/FBNEO/4dwarrio.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/4enraya.zip	emu/ROMS/ARCADE/FBNEO/4enraya.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
