accion	origen	destino	motivo
MOVIDO	emu/ROMS/GB/Challenger GB BIOS [C][!].gb	emu/EXTRAS/GB/Challenger GB BIOS [C][!].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/GB Backup Station BIOS [C][!].gbc	emu/EXTRAS/GB/GB Backup Station BIOS [C][!].gbc	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/GB Backup Station BIOS [C][a1].gbc	emu/EXTRAS/GB/GB Backup Station BIOS [C][a1].gbc	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Game Genie V1.17 BIOS.gb	emu/EXTRAS/GB/Game Genie V1.17 BIOS.gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Game Shark BIOS.gb	emu/EXTRAS/GB/Game Shark BIOS.gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Game Shark Online V3.1 BIOS [!].gb	emu/EXTRAS/GB/Game Shark Online V3.1 BIOS [!].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Game Shark Online V3.1 BIOS [a1][!].gbc	emu/EXTRAS/GB/Game Shark Online V3.1 BIOS [a1][!].gbc	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Gameboy Smart Card (CCL Copier) (Unl) [S].gb	emu/EXTRAS/GB/Gameboy Smart Card (CCL Copier) (Unl) [S].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Gameboy Smart Card (CCL Copier) (Unl) [a1].gb	emu/EXTRAS/GB/Gameboy Smart Card (CCL Copier) (Unl) [a1].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Gameboy Smart Card (CCL Copier) (Unl) [a2].gb	emu/EXTRAS/GB/Gameboy Smart Card (CCL Copier) (Unl) [a2].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Gameboy Smart Card (CCL Copier) (Unl).gb	emu/EXTRAS/GB/Gameboy Smart Card (CCL Copier) (Unl).gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Pro Action Replay (Unl) [!].gb	emu/EXTRAS/GB/Pro Action Replay (Unl) [!].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Pro Action Replay (Unl) [f1].gb	emu/EXTRAS/GB/Pro Action Replay (Unl) [f1].gb	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Work Master BIOS 2.2 (PD) [C].gbc	emu/EXTRAS/GB/Work Master BIOS 2.2 (PD) [C].gbc	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GB/Work Master BIOS 2.2R (PD) [C].gbc	emu/EXTRAS/GB/Work Master BIOS 2.2R (PD) [C].gbc	BIOS de dispositivo, no es un juego
MOVIDO	emu/ROMS/GBA/Pokémon Rojo fuego [E].sgm	emu/EXTRAS/GBA/Pokémon Rojo fuego [E].sgm	savestate de VisualBoyAdvance, RetroArch no lo lee
MOVIDO	emu/ROMS/GBA/Banjo Kazooie - Grunty's Revenge [E].sav	emu/SAVES/Banjo Kazooie - Grunty's Revenge [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Banjo Pilot [E].sav	emu/SAVES/Banjo Pilot [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Castlevania - Harmony Of Dissonance [E].sav	emu/SAVES/Castlevania - Harmony Of Dissonance [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Charlie And The Chocolate Factory [E].sav	emu/SAVES/Charlie And The Chocolate Factory [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Crash Bandicoot - Fusion [E].sav	emu/SAVES/Crash Bandicoot - Fusion [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Digimon - Battle Spirit [E].sav	emu/SAVES/Digimon - Battle Spirit [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Donkey Kong - King of Swing [E].sav	emu/SAVES/Donkey Kong - King of Swing [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Pokemon Mundo misterioso [E].sav	emu/SAVES/Pokemon Mundo misterioso [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GBA/Pokémon Rojo fuego [E].sav	emu/SAVES/Pokémon Rojo fuego [E].srm	partida GBA, renombrada .sav -> .srm
MOVIDO	emu/ROMS/GG/- 5 in 1 Funpak (U) [!].png	emu/MEDIA/GG/- 5 in 1 Funpak (U) [!].png	caratula
