accion	origen	destino	motivo
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/12 O'Clock (1991)(CP Verlag)[cr Mayhem][t +1 Mayhem].prg	emu/EXTRAS/C64-PRG-variantes/#/12 O'Clock (1991)(CP Verlag)[cr Mayhem][t +1 Mayhem].prg	variante de 12 O'Clock (1991)(CP Verlag)[cr EMP+ARC].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)(pl)[cr CHR][t +1 CHR][tr en].prg	emu/ROMS/C64/PRG/#/15 Pietnastka (19xx)(R-Pils)(pl)[cr CHR][t +1 CHR][tr en].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)[a2].prg	emu/ROMS/C64/PRG/#/15 Pietnastka (19xx)(R-Pils)[a2].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)[a3].prg	emu/EXTRAS/C64-PRG-variantes/#/15 Pietnastka (19xx)(R-Pils)[a3].prg	variante de 15 Pietnastka (19xx)(R-Pils)[a2].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)[a5].prg	emu/EXTRAS/C64-PRG-variantes/#/15 Pietnastka (19xx)(R-Pils)[a5].prg	variante de 15 Pietnastka (19xx)(R-Pils)[a2].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/15 Pietnastka (19xx)(R-Pils)[a].prg	variante de 15 Pietnastka (19xx)(R-Pils)[a2].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Pietnastka (19xx)(R-Pils)[h ACY].prg	emu/EXTRAS/C64-PRG-variantes/#/15 Pietnastka (19xx)(R-Pils)[h ACY].prg	variante de 15 Pietnastka (19xx)(R-Pils)[a2].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15 Solitaire (1994)(Compute!'s Gazette).prg	emu/ROMS/C64/PRG/#/15 Solitaire (1994)(Compute!'s Gazette).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/15-Puzzle, The (1987)(RUN-CW Communications).prg	emu/ROMS/C64/PRG/#/15-Puzzle, The (1987)(RUN-CW Communications).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/17 und 04 (1987)(Commodore Disc)(de).prg	emu/ROMS/C64/PRG/#/17 und 04 (1987)(Commodore Disc)(de).prg	PRG TOSEC: mejor versión del juego
